,time,prs_tur_down,prs_thr_up_sp,prs_sp_bpa,prs_bpa,prs_thr_up,fup_mes,soi_main1_chk_tu[4],prs_eg[0],soi_main1_chk_tu[3],soi_main1_chk_tu[2],soi_main1_chk_tu[5],poil,prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[1],map,prs_bpa_dif,egbp_mes[0],prs_cmpr_down,prs_up_cmp_prot[0],amp_mes,pfu_mes,pfu_l_mes,map_mes,prs_thr_down,n,fup,soi_main1,soi_main1_chk_tu[0],soi_main1_tu,fup_sp,soi_main1_bas
prs_up_cmp_prot[0],-0.07939599207835381,0.6364923028350316,-0.04911317638667808,-0.04911317638667808,-0.04911317638667808,-0.053230204087372036,0.015040869339719426,0.0030228700829479744,-0.002512150133358025,0.00021795333492417726,-0.001272331476009359,-0.005883994847452051,-0.020608928121475627,0.612252162884602,-0.002512150133358025,-0.0004867373675746287,-0.05658592128591972,0.04533769324216001,0.006491166068775497,-0.05778886712168362,1.0,0.8288456756585195,0.014082397458852428,0.022958473934657147,-0.05127829826265958,-0.0377423222989918,-0.012106239042915575,-0.05236028438044035,-0.013320545834682687,-0.01541925594151852,-0.012875338614539376,0.0002821227270949093,-0.0170911304492394
amp_mes,-0.09180580090932319,0.7162929381917188,-0.0474287697149019,-0.0474287697149019,-0.0474287697149019,-0.049726145353269344,0.020143088760098835,0.0026598758739539443,0.009334447295768784,0.0019935222034883895,-0.0024844640425554596,0.006558827946799342,-0.028069014317137563,0.6575148460861866,0.009334447295768784,-0.016279194929537496,-0.05497927955494607,0.046090152968139855,-0.0008571002302254706,-0.05634650352652489,0.8288456756585195,1.0,0.019043847705755245,0.03262291808479282,-0.05715625802690888,-0.04067651752402341,-0.015732405240577802,-0.04294212508707877,-0.015886203690615018,-0.014242195547692816,-0.01610661620812146,0.011420169485677915,-0.0045211905147763826
pfu_mes,0.005159301934540901,0.010632904223871748,0.04495719446248496,0.04495719446248496,0.04495719446248496,0.01705759569635939,-0.2432993446247595,-0.15611019840291,0.2143506769574548,-0.2661268820168055,-0.3215671101730541,0.24868984045156367,0.005243022116792385,0.0127826145464191,0.2143506769574548,0.2567057671104533,0.025309777879795905,-0.07329241488307112,-0.17623629625895115,0.037932753452313034,0.014082397458852428,0.019043847705755245,1.0,0.045891930302698766,0.01637721786375226,0.006445757382970908,0.050059940526890764,0.002835916830925436,0.07680169435724842,0.4151515034147056,0.07827076308836146,0.24635602436141704,0.34963745394093576
pfu_l_mes,-0.16012651926281787,0.023260275596436963,-0.14363751670329564,-0.14363751670329564,-0.14363751670329564,-0.11945843274628579,-0.040376988157893166,-0.004693535838133853,0.06627490079941502,-0.07159781480899041,-0.09914024549159005,0.07375212013721141,0.020099643422605618,0.04460643757964264,0.06627490079941502,0.04416702056533177,-0.12720746792287277,0.1640478708171689,-0.07408532536538318,-0.13002943379251453,0.022958473934657147,0.03262291808479282,0.045891930302698766,1.0,-0.12204295819053199,-0.051069608947876766,0.0764610070281666,0.25544770533329186,0.06716179111392491,0.0874057714507244,0.06295617803046097,0.06861956146790657,0.0996465754535251
map_mes,0.6142674185755643,-0.05062956840893463,0.7106568213887371,0.7106568213887371,0.7106568213887371,0.785915023137232,0.033613730525922654,-0.0526503468816892,0.02333722991323537,-0.014649526815917786,0.02147917150619031,-0.018014787712360997,-0.026877996750577324,-0.06406217074479545,0.02333722991323537,-0.024427279577238975,0.829443539656785,-0.6560301167461395,0.11919977672037897,0.7842324841325263,-0.05127829826265958,-0.05715625802690888,0.01637721786375226,-0.12204295819053199,1.0,0.6931949900026411,-0.02586595622128307,0.014222020634727736,-0.024729669324153047,0.010686506111629853,-0.024520923081787774,-0.031278803294872856,-0.009802884395617892
prs_thr_down,0.4703316230876948,-0.03667371628097761,0.5733905475948344,0.5733905475948344,0.5733905475948344,0.6463805575025795,0.013633349266940337,-0.01639844288542828,0.014938067029601543,-0.005711912879031386,0.0062317954618245144,-0.016594476153720686,-0.03254234667719741,-0.04260381670376289,0.014938067029601543,-0.016724230423563077,0.6589071477887952,-0.5304357131271838,0.07851306239044605,0.6309149976772315,-0.0377423222989918,-0.04067651752402341,0.006445757382970908,-0.051069608947876766,0.6931949900026411,1.0,-0.052615940427605756,0.028125066174682266,-0.05744276212511333,-0.03308508100094681,-0.05638717663801579,-0.02624785909824645,-0.014036985734235556
n,0.011967442038449941,-0.01955859605320452,-0.006437031429823231,-0.006437031429823231,-0.006437031429823231,-0.014583141656443765,-0.042430528745070396,0.06884519942863243,0.11173999793026156,0.041959545738602104,-0.0359270960815799,0.1211857528486517,-0.023968772497194257,0.004516114257732821,0.11173999793026156,0.06289580340071742,-0.014934076648772152,0.010428250881391779,-0.04338621657646896,-0.017804580894119532,-0.012106239042915575,-0.015732405240577802,0.050059940526890764,0.0764610070281666,-0.02586595622128307,-0.052615940427605756,1.0,-0.011036174489304471,0.7658824163289016,0.17982832745354113,0.7631509564526143,0.1400977297251211,0.1435318831003371
fup,0.004972259218928513,-0.017276726463977665,0.05324515312363707,0.05324515312363707,0.05324515312363707,0.007237765756345311,0.025927847702113555,0.03083440018826098,0.015429617692004419,0.01791160336379591,0.0009010640930611554,-0.0004258121318124996,0.005005486131224024,-0.011662864718929059,0.015429617692004419,0.011054054829652266,0.006569812546520302,-0.076355447642801,0.006568180616183791,0.021979414920325818,-0.05236028438044035,-0.04294212508707877,0.002835916830925436,0.25544770533329186,0.014222020634727736,0.028125066174682266,-0.011036174489304471,1.0,-0.057351537128364924,0.015247907638795147,-0.05830427371368388,0.006721766975678159,0.0045138913137293445
soi_main1,0.00559610389661474,-0.023665077890658352,-0.010215959626873475,-0.010215959626873475,-0.010215959626873475,-0.01780622724959815,-0.03993162994616991,0.08427297018343771,0.0897330768710102,0.03271787169550112,-0.049821713953768484,0.1587975814745872,-0.015575017399076435,-0.005714315379190782,0.0897330768710102,0.10778424366441415,-0.014047818178914243,0.016553289129749845,-0.05580645084259228,-0.017283251993656257,-0.013320545834682687,-0.015886203690615018,0.07680169435724842,0.06716179111392491,-0.024729669324153047,-0.05744276212511333,0.7658824163289016,-0.057351537128364924,1.0,0.28050990239361,0.9891737018283405,0.14640568165089832,0.18822861400125185
soi_main1_chk_tu[0],0.02928377239257382,-0.016544699589202957,0.03028516805174273,0.03028516805174273,0.03028516805174273,0.025376808666143773,-0.21054903404527037,-0.19263758704502915,0.369583977862543,-0.2249855489913054,-0.4308995068916993,0.34477731534924216,0.0009696267499857957,-0.0010936907654937199,0.369583977862543,0.2611087923872215,0.00048210909184147446,-0.004947647621014905,-0.2524762411611079,-0.010709044131067599,-0.01541925594151852,-0.014242195547692816,0.4151515034147056,0.0874057714507244,0.010686506111629853,-0.03308508100094681,0.17982832745354113,0.015247907638795147,0.28050990239361,1.0,0.2845781870650115,0.33398175924270435,0.6048257050850837
soi_main1_tu,0.005620130722574946,-0.024679028731657896,-0.0038333001802255,-0.0038333001802255,-0.0038333001802255,-0.012749575282785485,-0.04230923871634813,0.0849321245150669,0.0944381533746846,0.034542821114521484,-0.04936110841762258,0.16172606142047635,-0.01716831110326003,-0.0076307438092415095,0.0944381533746846,0.1058286071443273,-0.013676163118792177,0.012366896637264157,-0.058847029960696455,-0.015960562593086595,-0.012875338614539376,-0.01610661620812146,0.07827076308836146,0.06295617803046097,-0.024520923081787774,-0.05638717663801579,0.7631509564526143,-0.05830427371368388,0.9891737018283405,0.2845781870650115,1.0,0.1499718113297899,0.18907023090137265
fup_sp,0.007246899900412963,-0.00478792005468958,-0.011250889640587996,-0.011250889640587996,-0.011250889640587996,-0.03274954017294895,-0.5095275849162002,0.4166190374701417,0.8079196326934073,-0.1848808136369861,-0.5567459627035396,0.9328300113446674,-0.022595534710587235,0.012009244798064877,0.8079196326934073,-0.3073363638947964,-0.013831870237486825,-0.013276320826579337,-0.7813392979022024,-0.005248529451976776,0.0002821227270949093,0.011420169485677915,0.24635602436141704,0.06861956146790657,-0.031278803294872856,-0.02624785909824645,0.1400977297251211,0.006721766975678159,0.14640568165089832,0.33398175924270435,0.1499718113297899,1.0,0.7584772250496463
soi_main1_bas,0.028021641634604126,-0.01779415748464251,-0.00215735631403778,-0.00215735631403778,-0.00215735631403778,-0.016391947032122517,-0.38227876169771874,0.13046598463842757,0.685485109868952,-0.22733746439420596,-0.5106121091858703,0.804269539840039,-0.010669902388626668,-0.0022800621058245915,0.685485109868952,-0.11523642831831755,-0.01092810876150403,-0.005712252644062822,-0.5918109691009475,-0.009075648211151319,-0.0170911304492394,-0.0045211905147763826,0.34963745394093576,0.0996465754535251,-0.009802884395617892,-0.014036985734235556,0.1435318831003371,0.0045138913137293445,0.18822861400125185,0.6048257050850837,0.18907023090137265,0.7584772250496463,1.0
