,time,prs_sp_bpa,prs_bpa,prs_thr_up_sp,prs_tur_down,prs_thr_up,fup_mes,prs_cmpr_up,poil,prs_eg_mes[0],prs_eg[0],soi_main1_chk_tu[1],soi_main1_chk_tu[3],soi_main1_chk_tu[5],soi_main1_chk_tu[2],soi_main1_chk_tu[4],map,amp_mes,prs_cmpr_down,map_mes,prs_up_cmp_prot[0],egbp_mes[0],prs_bpa_dif,pfu_mes,pfu_l_mes,n,prs_thr_down,soi_main1,soi_main1_tu,soi_main1_chk_tu[0],fup,fup_sp,soi_main1_bas
prs_eg[0],0.28655345407408134,0.043976819681669235,0.043976819681669235,0.043976819681669235,0.04377339298605349,0.043531080132054686,-0.14877058989402084,0.05114423316907393,0.007271239518472754,1.0,1.0,0.9577250786627481,0.9576545069243928,0.9583873205648924,0.9575486284305764,0.9581433849285911,0.06089670363021664,0.05813498442502664,0.05874273441870495,0.9748228429541539,0.05808653810510137,0.9289659936390028,-0.057574751277610595,-0.15918045486639593,0.020582076290369376,0.012147395641012727,0.05331465278425199,0.007279428583275713,0.9578716355033333,0.9581131231060566,-0.001196439291691221,0.14376759963830738,0.1891729847187576
soi_main1_chk_tu[1],0.23078166267784678,0.03541198578069355,0.03541198578069355,0.03541198578069355,0.03508747876099331,0.03474232698343891,-0.12823063469931403,0.04010499456888192,0.004990277250526271,0.9577250786627481,0.9577250786627481,1.0,0.9998377312128094,0.9999155815252002,0.9998424077900533,0.9998837422132524,0.047682037938144683,0.04606491494446121,0.046202792753919926,0.9802027953438667,0.04544594029826497,0.9565957669848119,-0.04523963004711039,-0.09620707665294226,0.016668105539641896,-0.0025241021886455157,0.04177886912958068,-0.019098911724389322,0.9999574437322359,0.9999609949902328,-0.009414108599536335,-0.03092825924917696,0.02274000402585201
soi_main1_chk_tu[3],0.23099514413443878,0.035490364621755685,0.035490364621755685,0.035490364621755685,0.035169686675579306,0.03482461129798504,-0.12607832481617667,0.04017348252074605,0.005087894895079987,0.9576545069243928,0.9576545069243928,0.9998377312128094,1.0,0.999912742288457,0.9999965259355207,0.9999476535376968,0.04775805570181827,0.04614851423068063,0.04628669810648904,0.9804529169518393,0.04553339846462786,0.9571261410729602,-0.04532242640351928,-0.09759104016271007,0.016504773040067606,-0.002358611323536954,0.041789806893694555,-0.018762506175183147,0.9998990181398615,0.9998928219818229,-0.009205267344561454,-0.031018620923042483,0.021078216374776446
soi_main1_chk_tu[5],0.2310171604890622,0.03546872590125027,0.03546872590125027,0.03546872590125027,0.03514812927069609,0.03480552266420818,-0.1273583313912886,0.040152492695852776,0.004959084458028429,0.9583873205648924,0.9583873205648924,0.9999155815252002,0.999912742288457,1.0,0.9999111263803355,0.999966911284148,0.047622905526148514,0.04604208454921989,0.046186953281707945,0.9803235523510855,0.04543312738702363,0.9562978005786599,-0.0452214691531355,-0.09839296898284412,0.016615378983783385,-0.002214129974974478,0.04176143756395053,-0.018478578148680837,0.9999631857502171,0.9999651841166047,-0.009246152848241882,-0.027362309009820496,0.02505167814781348
soi_main1_chk_tu[2],0.2309329346818374,0.03547258466409246,0.03547258466409246,0.03547258466409246,0.03515109713808087,0.034805112448359404,-0.12678351831513338,0.040150660958040346,0.00509776826831131,0.9575486284305764,0.9575486284305764,0.9998424077900533,0.9999965259355207,0.9999111263803355,1.0,0.9999441980186401,0.0477285152071953,0.04612597600094617,0.04626512755575908,0.9804573293141139,0.04550813192879819,0.9572068915020578,-0.0453013826773364,-0.09660127193783481,0.016487210589262218,-0.0024603921053972916,0.041782442499642795,-0.01902347839181526,0.9998994702697497,0.9998959799598581,-0.009317344695206842,-0.031868983453127345,0.020802056622058317
soi_main1_chk_tu[4],0.2310851094424108,0.03545786615323823,0.03545786615323823,0.03545786615323823,0.03513841527310292,0.034793978754454905,-0.1262920662043405,0.040129798423524585,0.005004750650382507,0.9581433849285911,0.9581433849285911,0.9998837422132524,0.9999476535376968,0.999966911284148,0.9999441980186401,1.0,0.047710597562533104,0.046098157109250894,0.046240790631767,0.9804043804250758,0.045488490402105855,0.956692269616053,-0.04527733746005783,-0.09860884977205399,0.01663794136417128,-0.00234621557466711,0.04175638787674974,-0.01859506490743998,0.9999234629358023,0.9999203159206254,-0.009182154400481483,-0.028549109259649198,0.023154100725854786
map,0.23503416189363746,0.7266207655703033,0.7266207655703033,0.7266207655703033,0.7268553045764296,0.7270005394145783,-0.0030164719627711898,0.780424464113208,0.010164662665096495,0.06089670363021664,0.06089670363021664,0.047682037938144683,0.04775805570181827,0.047622905526148514,0.0477285152071953,0.047710597562533104,1.0,0.9060500888678765,0.950567420426002,0.053752025502884236,0.9493340160023891,0.06384882466275361,-0.9457555930331755,0.006717669961518543,0.01983581067708323,0.009123798010583339,0.788485512749082,0.013323296112948515,0.04762670816973358,0.0475913536923536,0.01223009254551084,0.006472263983101657,0.0016054692348960152
amp_mes,0.2242641353848504,0.8332250842574768,0.8332250842574768,0.8332250842574768,0.8314353962834313,0.8309785628488979,-0.0034227217077103396,0.8038817937733319,0.004789422836466184,0.05813498442502664,0.05813498442502664,0.04606491494446121,0.04614851423068063,0.04604208454921989,0.04612597600094617,0.046098157109250894,0.9060500888678765,1.0,0.9083091826535934,0.05184458840247283,0.9071306470691963,0.061929614878765624,-0.9036286708566351,0.008745866481630385,0.017993108465500975,0.01193654342010579,0.8508393177828931,0.014674488538448808,0.04604418592343292,0.045998090691880954,0.010224048259067692,0.003724483554397089,-0.00031535707846681496
prs_cmpr_down,0.22432866681575997,0.7660765581715723,0.7660765581715723,0.7660765581715723,0.7644930032497015,0.763865792766542,-0.003955840635932949,0.7655741238702692,-0.005395448102276133,0.05874273441870495,0.05874273441870495,0.046202792753919926,0.04628669810648904,0.046186953281707945,0.04626512755575908,0.046240790631767,0.950567420426002,0.9083091826535934,1.0,0.051882977452958876,0.9983117057849942,0.06172773772261627,-0.9949039936441325,0.0060704643516287645,0.01878499164744521,0.010180862704361058,0.9062660843107998,0.013152024351554572,0.04618021478557623,0.046141378749426365,0.005916121036109009,0.005977004366404135,0.0008966885241009523
map_mes,0.2606363147790925,0.03983208895018534,0.03983208895018534,0.03983208895018534,0.03953285142391863,0.03918230440364793,-0.12556803878386258,0.04542622594720157,0.004999457012117466,0.9748228429541539,0.9748228429541539,0.9802027953438667,0.9804529169518393,0.9803235523510855,0.9804573293141139,0.9804043804250758,0.053752025502884236,0.05184458840247283,0.051882977452958876,1.0,0.051164817880581595,0.9776162398737237,-0.05085481154177195,-0.09301482950659824,0.01611357543175936,-0.0006607019848202935,0.04705020138988502,-0.015102357922594718,0.9802527485296461,0.9802509587761955,-0.007684148228466686,-0.0310221118832786,0.021784166373684428
