,time,prs_bpa,prs_sp_bpa,prs_thr_up,prs_tur_down,fup_mes,ti_main1_tu_tmp,prs_thr_up_sp,soi_main1_chk_tu[1],soi_main1_chk_tu[4],prs_eg[0],prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[2],soi_main1_chk_tu[5],soi_main1_chk_tu[3],poil,map,pfu_mes,egbp_mes[0],prs_up_cmp_prot[0],prs_bpa_dif,prs_cmpr_down,amp_mes,pfu_l_mes,map_mes,ti_main1_tu,prs_thr_down,ti_main1_tu_[0],fup,soi_main1_tu,soi_main1,soi_main1_chk_tu[0],n,soi_main1_bas,fup_sp
prs_up_cmp_prot[0],-0.1509873003539997,0.11615382888752156,0.11615382888752156,0.11579590540362454,0.6531132936521273,-0.012944032678730817,0.09985709022127165,0.11615382888752156,0.05376562199419374,-0.12046342789556219,0.09195013820348971,0.6297946209623595,0.09195013820348971,0.08177686772046507,-0.11073096213513187,0.041611383832142294,0.0025847506365037926,0.11513165710617539,0.025245024440256388,0.11518379625853735,1.0,-0.11551187423373654,0.1151776465383863,0.8362113091170364,0.021269119133295693,0.11745143206685801,0.03364831684069199,0.11488928248659144,0.09972731165666286,-0.007988503392376367,-0.0023690839833354405,-0.004173171468547929,-0.03403687180358295,0.0008272335461990207,-0.07609710895597306,-0.11717908500701366
prs_bpa_dif,0.6910365026717519,-0.9980550822082022,-0.9980550822082022,-0.9976666546882911,-0.082281865208245,0.05566621592836708,-0.960850961056369,-0.9980550822082022,-0.3971461518852026,0.7569511668677938,-0.8168682908533947,-0.09258726373478711,-0.8168682908533947,-0.8593257014684512,0.7464957748717823,-0.3966211390671515,-0.03480518698323633,-0.9984372225477385,-0.4320991614950432,-0.9594985218034554,-0.11551187423373654,1.0,-0.9987209877310391,-0.11628849697244231,-0.09133882334233016,-0.997152102655922,-0.40452424200901715,-0.996706201547546,-0.9611276593454232,-0.057508478286694094,-0.0737008416611433,-0.07201796436574014,0.2555904822642417,0.025411678715921815,0.5390118629908074,0.6491171354157949
prs_cmpr_down,-0.692918871428464,0.9985798418704707,0.9985798418704707,0.9988051733802743,0.08183488592532971,-0.05829271317815702,0.9616878306313684,0.9985798418704707,0.39801930510576156,-0.7572623938070057,0.8185358323988231,0.09250269040669663,0.8185358323988231,0.8599053090616988,-0.7464723664041586,0.3966141821179745,0.03402092879850731,0.9997706784430144,0.4306669209892295,0.9602128824910964,0.1151776465383863,-0.9987209877310391,1.0,0.11623293361799183,0.09130232301306167,0.9984420390207348,0.40535537716744213,0.9979784571629287,0.9619895893015296,0.0522259917847984,0.07437975884926509,0.07280660061579536,-0.2546670983267541,-0.02485003020205581,-0.5386490361710863,-0.6488597474673701
amp_mes,-0.14696528048570148,0.11680670557188937,0.11680670557188937,0.11660656488132017,0.7328153210073695,-0.014558850526139986,0.10143439803386928,0.11680670557188937,0.055823469009215525,-0.11713855414969647,0.09722966721721248,0.6772656116921127,0.09722966721721248,0.08159790150891376,-0.10255932275132537,0.037479115894113985,0.009871731587879625,0.1162039536527813,0.03859303842303489,0.11398996380631769,0.8362113091170364,-0.11628849697244231,0.11623293361799183,1.0,0.01230179458445475,0.11830817132834906,0.030195545890219177,0.11621166526363308,0.10130629228882723,-0.0021942992865084925,-0.0001498027997312904,-0.0012699130254504093,-0.02799035482044612,0.0017602618842594419,-0.06698763661601029,-0.10784971929534869
pfu_l_mes,-0.21039750785044176,0.08916735075308174,0.08916735075308174,0.08954596189003243,-0.0024863488041675704,0.0060239094081776315,0.04113512338075334,0.08916735075308174,0.10310617270342418,-0.10600399681837863,0.061992368251388,0.010028713886904798,0.061992368251388,0.027738091727655446,-0.05439220179910775,-0.046010417064569056,0.005972835385657853,0.09196625418395284,0.05242574298951896,0.06590580060441094,0.021269119133295693,-0.09133882334233016,0.09130232301306167,0.01230179458445475,1.0,0.09090555025100061,0.07586582604408272,0.09332584953858526,0.04102587017788848,0.2969624373332189,0.048861604948218014,0.05024455374569294,0.08728835831424288,0.07693712045960004,-0.004299913747148722,-0.04803761665527883
map_mes,-0.6944302939300457,0.9983094744516342,0.9983094744516342,0.9985787382706299,0.0835345129899711,-0.05831954708810248,0.9613149529845217,0.9983094744516342,0.39784763961413117,-0.7598844746953558,0.8171629401774024,0.09414577682175634,0.8171629401774024,0.8607046332216648,-0.7477627600892244,0.39674917337391064,0.03459536417522373,0.9986627327920425,0.4283328076953999,0.9611092321617025,0.11745143206685801,-0.997152102655922,0.9984420390207348,0.11830817132834906,0.09090555025100061,1.0,0.4052763172209017,0.9979072072548433,0.9616044062442737,0.05191121372093318,0.07477699537099203,0.07317356787002101,-0.2541135626679295,-0.02392310270520099,-0.5378450776586843,-0.6506457380139244
ti_main1_tu,-0.22636634678293713,0.4057335852901473,0.4057335852901473,0.4059820802593851,0.01653656343700035,-0.034003079278296024,0.4217041057749586,0.4057335852901473,0.17349085038931544,-0.3166369518990127,0.3306104454753594,0.024774495857580136,0.3306104454753594,0.3773633512700697,-0.32137775241569466,0.17239825746268783,0.005785403609506757,0.40585268161928656,0.18440299951582867,0.404836010681416,0.03364831684069199,-0.40452424200901715,0.40535537716744213,0.030195545890219177,0.07586582604408272,0.4052763172209017,1.0,0.40925279975165957,0.4217748003622413,-0.11069851308160386,-0.05658184162758132,-0.053806718001777984,-0.06963952303502206,-0.04242724458633019,-0.23305582114011153,-0.27557515916911846
prs_thr_down,-0.6937393951468064,0.9979107111058315,0.9979107111058315,0.9981963015016737,0.08133693248679391,-0.05774551104687034,0.9607841436837499,0.9979107111058315,0.39708325718502524,-0.756884037095509,0.8173990549340796,0.09214910491029482,0.8173990549340796,0.8598826969811358,-0.7461034561983837,0.39703939316618686,0.03416479949600581,0.9981392627936586,0.42912774224044464,0.9597546318733594,0.11488928248659144,-0.996706201547546,0.9979784571629287,0.11621166526363308,0.09332584953858526,0.9979072072548433,0.40925279975165957,1.0,0.9610942944468984,0.05104540761094082,0.07223565720309758,0.07076559833826296,-0.25530234483550035,-0.026087470078307605,-0.5377410167840971,-0.6484202627285002
ti_main1_tu_[0],-0.5355724957818331,0.9624965288678979,0.9624965288678979,0.9628030915540379,0.07239742508504467,-0.056633148954514864,0.9998950351691143,0.9624965288678979,0.41404454225112647,-0.7573640583715444,0.7847224398746888,0.07930544791355884,0.7847224398746888,0.895679749409763,-0.7521376515345577,0.4178256129208173,0.03036225932973026,0.9622571321299037,0.447221024915882,0.960275286246158,0.09972731165666286,-0.9611276593454232,0.9619895893015296,0.10130629228882723,0.04102587017788848,0.9616044062442737,0.4217748003622413,0.9610942944468984,1.0,0.06743293270563191,0.09127450786311035,0.08977012658895002,-0.25748738144722433,-0.019269613097054692,-0.5427450450143094,-0.6459543229043426
fup,-0.005406436367877775,0.053051748508934723,0.053051748508934723,0.0515125761155282,-0.01175131705885877,0.031186135068841905,0.06746432550647027,0.053051748508934723,0.04853799403508741,-0.002430307093452075,0.047002746456740734,-0.007330250829957652,0.047002746456740734,0.09828611157500398,-0.007092975285595547,0.06190492604726566,0.009054710686112351,0.051365299665735976,0.0427427871175767,0.05693619280354228,-0.007988503392376367,-0.057508478286694094,0.0522259917847984,-0.0021942992865084925,0.2969624373332189,0.05191121372093318,-0.11069851308160386,0.05104540761094082,0.06743293270563191,1.0,-0.018370791882303804,-0.01912930876827008,0.03956023782823856,-0.06933950111037111,-0.010499770719919551,0.034922377027572775
soi_main1_tu,-0.018722226310661793,0.07513696473044153,0.07513696473044153,0.07560519743671089,-0.007500783472607599,0.01796005576409695,0.0914793357299601,0.07513696473044153,0.14157016581656748,0.002488454546023372,0.0840679349863836,-0.004460537642101009,0.0840679349863836,0.12154013374982135,0.024805525221520703,0.031538597403818265,0.00032376876800719944,0.07439737066499993,0.08145289797154993,0.07345478365232234,-0.0023690839833354405,-0.0737008416611433,0.07437975884926509,-0.0001498027997312904,0.048861604948218014,0.07477699537099203,-0.05658184162758132,0.07223565720309758,0.09127450786311035,-0.018370791882303804,1.0,0.9933867724967632,0.20879364744040338,0.883109564367222,0.06581276666113592,0.06614849913974435
soi_main1,-0.01792502622065861,0.07359332680668446,0.07359332680668446,0.07398952137799412,-0.008231264324545256,0.01795615493914925,0.08997570953437592,0.07359332680668446,0.14254242021073252,0.0036956905359759352,0.08234504380452908,-0.005215118021866175,0.08234504380452908,0.11981451491402156,0.0243596464716191,0.02956831164193369,-0.0016515269005904516,0.07282503058076056,0.08044672590421466,0.07192422044996866,-0.004173171468547929,-0.07201796436574014,0.07280660061579536,-0.0012699130254504093,0.05024455374569294,0.07317356787002101,-0.053806718001777984,0.07076559833826296,0.08977012658895002,-0.01912930876827008,0.9933867724967632,1.0,0.2054613004932865,0.8896029401295682,0.065346837088371,0.06567661114653041
soi_main1_chk_tu[0],0.12722756716464048,-0.25419189998684716,-0.25419189998684716,-0.25402890683496426,-0.026486471642970397,-0.21691339978183258,-0.25746066403658097,-0.25419189998684716,0.22816404155192058,0.06825000207549303,0.009168968931868806,-0.031873075776635895,0.009168968931868806,-0.36714176748883276,0.4039285996581872,-0.46030573919389,-0.017015232823852002,-0.2540899847011271,0.2708462378410246,-0.31224237376371666,-0.03403687180358295,0.2555904822642417,-0.2546670983267541,-0.02799035482044612,0.08728835831424288,-0.2541135626679295,-0.06963952303502206,-0.25530234483550035,-0.25748738144722433,0.03956023782823856,0.20879364744040338,0.2054613004932865,1.0,0.16201528187787223,0.649365785578148,0.3891489156706273
n,0.008841624527307213,-0.023804787793606584,-0.023804787793606584,-0.02368547902515815,-0.0005067099014971546,-0.025843945992210585,-0.01909262336584272,-0.023804787793606584,0.036845459042586855,0.03189001140228464,0.014686930519537322,0.005103237731812834,0.014686930519537322,-0.026506041312493622,0.053438389857387254,-0.027385688269055963,-0.0030080970930943516,-0.024884997340081125,0.015976359394397354,-0.028623445093245468,0.0008272335461990207,0.025411678715921815,-0.02485003020205581,0.0017602618842594419,0.07693712045960004,-0.02392310270520099,-0.04242724458633019,-0.026087470078307605,-0.019269613097054692,-0.06933950111037111,0.883109564367222,0.8896029401295682,0.16201528187787223,1.0,0.06981867286123689,0.05511793834253028
soi_main1_bas,0.32327383208127314,-0.5390090278794781,-0.5390090278794781,-0.5388285424725717,-0.05247976107517533,-0.2355766777289496,-0.5425729847466384,-0.5390090278794781,-0.15991770566178265,0.48537837538585726,-0.1314457729832891,-0.05921712257207646,-0.1314457729832891,-0.6222241386364296,0.8085609781251079,-0.46722951182030825,-0.017750744197135782,-0.5389349137375977,0.0302897743885682,-0.6447810360378596,-0.07609710895597306,0.5390118629908074,-0.5386490361710863,-0.06698763661601029,-0.004299913747148722,-0.5378450776586843,-0.23305582114011153,-0.5377410167840971,-0.5427450450143094,-0.010499770719919551,0.06581276666113592,0.065346837088371,0.649365785578148,0.06981867286123689,1.0,0.7502450214231541
fup_sp,0.4366862419342861,-0.6504885986887261,-0.6504885986887261,-0.6502301261308135,-0.08741288399036977,-0.1507748568677122,-0.6457335319591325,-0.6504885986887261,-0.34792458369281365,0.750667349452981,-0.26151279265875904,-0.09616988635550809,-0.26151279265875904,-0.6192576517402488,0.9224963829328177,-0.35043578453366675,-0.031285581840865016,-0.6493990751579112,-0.1784912795742209,-0.7593061054273634,-0.11717908500701366,0.6491171354157949,-0.6488597474673701,-0.10784971929534869,-0.04803761665527883,-0.6506457380139244,-0.27557515916911846,-0.6484202627285002,-0.6459543229043426,0.034922377027572775,0.06614849913974435,0.06567661114653041,0.3891489156706273,0.05511793834253028,0.7502450214231541,1.0
