,time,prs_tur_down,ti_main1_tu_tmp,prs_thr_up_sp,prs_sp_bpa,prs_bpa,prs_thr_up,fup_mes,soi_main1_chk_tu[4],prs_eg[0],soi_main1_chk_tu[3],soi_main1_chk_tu[2],soi_main1_chk_tu[5],poil,prs_cmpr_up,prs_eg_mes[0],soi_main1_chk_tu[1],ti_main1_bas,map,prs_bpa_dif,egbp_mes[0],prs_cmpr_down,prs_up_cmp_prot[0],amp_mes,pfu_mes,pfu_l_mes,map_mes,prs_thr_down,ti_main1_tu,n,fup,soi_main1,soi_main1_chk_tu[0],soi_main1_tu,fup_sp,soi_main1_bas
map_mes,-0.07751683129778922,0.06302343686754992,0.8239357558466731,0.06299525308757559,0.06299525308757559,0.06299525308757559,0.0630563855761311,0.8505416946807438,0.7595887528399571,0.9859976743294977,0.7626716957729953,0.7679286396930659,0.7555383119996335,-0.05438644971527909,0.07315456413409784,0.9859976743294977,0.7557672015148907,0.8239337934694902,0.08689408495261024,-0.627331692862465,0.9869472817649239,0.08285575384865296,0.08285770452198228,0.08309078960961669,0.8613423236478237,0.854459613162939,1.0,0.07695365425024331,0.8193517778055085,0.9868189368367842,0.9369678801612049,0.9250236575084131,0.7586889908451911,0.92506897818518,0.9638579615016837,0.7529744499236605
prs_thr_down,-0.02485085692245487,0.8096165753114369,0.053549731458253494,0.8115016886982633,0.8115016886982633,0.8115016886982633,0.8073889326506082,0.07330406922132407,0.07526997306131994,0.08099574514177411,0.07610106329076388,0.07435807020757533,0.0774637461402247,0.0007652352231143626,0.7817556746505382,0.08099574514177411,0.07868599149762234,0.0535487268547355,0.7819948202403694,-0.6955129828383932,0.08128414717573407,0.8991003496488381,0.8998927076299155,0.8323492499806451,0.08436731717162416,0.05663697644957175,0.07695365425024331,1.0,0.053236338429975785,0.07321429982950288,0.08827740227438681,0.07681126217901901,0.07991949732967149,0.07695897118588732,0.07332377589753092,0.07746381570128005
ti_main1_tu,-0.09600447540486014,0.04350038545859556,0.9941476265194379,0.04348379618010939,0.04348379618010939,0.04348379618010939,0.04350038545851297,0.673039994102565,0.44661619132215347,0.7651960164635093,0.44863271298840285,0.4524812483255956,0.4455658261479559,-0.03742421029492104,0.050682739898534834,0.7651960164635093,0.4485617865043422,0.9947906992655497,0.06008497011671535,-0.6257624801104148,0.7646369424274949,0.05728065462619826,0.05733498127224812,0.05730004458910631,0.6830903500040124,0.7968195346034423,0.8193517778055085,0.053236338429975785,1.0,0.8887572432915352,0.7424422240128994,0.8510237870618864,0.4471275669324915,0.8510451442667636,0.9217384042258749,0.44563304556899885
n,-0.13043468244624912,0.05965179928818529,0.8933622679118801,0.059698779769476476,0.059698779769476476,0.059698779769476476,0.05965082740451684,0.8327724780537231,0.698240555041953,0.9641407992471042,0.7015321068276117,0.7066558438796693,0.6948062450146977,-0.05128134738989781,0.06961119323927466,0.9641407992471042,0.6961599670112144,0.8933808477064143,0.08253327755471439,-0.6541852418246605,0.9648516392283801,0.07872896499213386,0.07881403252010855,0.07857584950349099,0.8434515927364938,0.8728193837698486,0.9868189368367842,0.07321429982950288,0.8887572432915352,1.0,0.9175734843196183,0.9322251093618769,0.6978580267616441,0.932226971130856,0.9842948864473526,0.6930229942534827
fup,-0.15201544071283568,0.07246372648050875,0.7466871583670603,0.07236837656321211,0.07236837656321211,0.07236837656321211,0.07250643692026255,0.9027911277802003,0.8606345298788741,0.9678433619912276,0.8551294377374485,0.8531724540294277,0.8635064439279557,-0.058771664319151824,0.08389780157917846,0.9678433619912276,0.8621303993935121,0.7466802355384556,0.10054131991416129,-0.5708002510741623,0.9665879103415184,0.09586077970843504,0.09619327580580989,0.09573576609043608,0.9131479886393521,0.7643665233085766,0.9369678801612049,0.08827740227438681,0.7424422240128994,0.9175734843196183,1.0,0.9436452015106909,0.8632562258667862,0.9436870283608011,0.9224500604169479,0.8646151476130205
soi_main1,-0.13481679258267162,0.06237477230813801,0.8491194172655268,0.062376079177667854,0.062376079177667854,0.062376079177667854,0.06237520675665238,0.8570953893686788,0.8408908073403205,0.9322010272906743,0.8406027597190926,0.8403549617434508,0.8402513087904,-0.054790207089413186,0.07337606796982635,0.9322010272906743,0.8422843450697797,0.8494932318495338,0.0865776621196605,-0.5893423158344455,0.9333731877909016,0.08248299129151061,0.08262027043711735,0.08229067115729254,0.8681882794518196,0.7902089306172222,0.9250236575084131,0.07681126217901901,0.8510237870618864,0.9322251093618769,0.9436452015106909,1.0,0.8420492983284426,0.9999272811132094,0.9603961396186971,0.8412470100444384
soi_main1_chk_tu[0],-0.14061022635371026,0.06515397114642771,0.4497597288421922,0.06513790952022713,0.06513790952022713,0.06513790952022713,0.0649851118651783,0.7746162292864118,0.9839251244131437,0.826470893857757,0.9776115919500475,0.9779079804479675,0.9855344679208808,-0.05442749870517237,0.07625624267498765,0.826470893857757,0.9866503148492445,0.4497512912610216,0.09005674975083007,-0.37858787214340617,0.8248472219981376,0.08572482081104889,0.0860660962055765,0.08632979816041567,0.7986257105323264,0.5494802226536326,0.7586889908451911,0.07991949732967149,0.4471275669324915,0.6978580267616441,0.8632562258667862,0.8420492983284426,1.0,0.8421285175634421,0.714218087427604,0.991336890209369
soi_main1_tu,-0.13453238690359146,0.06246744461648091,0.8491407419469917,0.062468772161099674,0.062468772161099674,0.062468772161099674,0.06246787907493939,0.857123656568322,0.840836649259016,0.9322034039025495,0.8406140806259118,0.840360879693043,0.8402285577863494,-0.055039049718429066,0.07344945557958324,0.9322034039025495,0.8423349276857605,0.8495145650512614,0.08656754346647519,-0.5893957978745457,0.9334237243352151,0.08253786569483146,0.08267507393790129,0.08229766685166237,0.8681164932438861,0.7901319421818099,0.92506897818518,0.07695897118588732,0.8510451442667636,0.932226971130856,0.9436870283608011,0.9999272811132094,0.8421285175634421,1.0,0.9604014749808826,0.8412648990356764
fup_sp,-0.13105958787523483,0.06003081135945786,0.9271645172587981,0.06006880327566748,0.06006880327566748,0.06006880327566748,0.060002274634987786,0.8332475725535126,0.7144397952033679,0.9476453145086805,0.7137436127164778,0.7157611381893229,0.7146020599224374,-0.05176222915460507,0.06980274527363534,0.9476453145086805,0.7131838347572557,0.9271471234696901,0.08269685108900271,-0.6399465754132263,0.9431073535713775,0.07879533115875838,0.07890857811629096,0.07911271220566021,0.8447521826029082,0.8554963081588166,0.9638579615016837,0.07332377589753092,0.9217384042258749,0.9842948864473526,0.9224500604169479,0.9603961396186971,0.714218087427604,0.9604014749808826,1.0,0.7134621644222218
soi_main1_bas,-0.13948178436684935,0.06272626561923832,0.4482564094924041,0.06270877714717811,0.06270877714717811,0.06270877714717811,0.06273385110913741,0.7783717501090175,0.9847398942101715,0.824121322203027,0.9782690560345997,0.9730944825623872,0.9943372731086938,-0.052174185024308754,0.07421137169396062,0.824121322203027,0.9863039105184974,0.44824800011380095,0.08860242145521804,-0.376264800572223,0.8193091677358261,0.08394543120641494,0.08425142419688228,0.08489000139903873,0.7931114859760467,0.5445494606678263,0.7529744499236605,0.07746381570128005,0.44563304556899885,0.6930229942534827,0.8646151476130205,0.8412470100444384,0.991336890209369,0.8412648990356764,0.7134621644222218,1.0
